AZURE,,,,,,,GCP,,,,,,,AWS,,,,,
Series,Virtual Machine,Instance vCPUs,Instance Memory,Total Platform Scope 3 Emissions  (kgCO₂eq),Total Platform Scope 3 Emissions  (mtCO₂eq),,Machine Family,Machine type,Instance vCPUs,Instance Memory,Total Platform Scope 3 Emissions  (kgCO₂eq),Total Platform Scope 3 Emissions  (mtCO₂eq),,Instance Family,Instance Type,vCPUS,Memory (GB),Total Platform Scope 3 Emissions  (kgCO₂eq),Total Platform Scope 3 Emissions  (mtCO₂eq)
Av2 Standard,A1 v2,1,2,1216.6,1.2166,,e2,e2-standard-2,2,8,1230.3,1.2303,,a1,a1.medium,1,2,1022.1904,1.0221904
Av2 Standard,A2 v2,2,4,1216.6,1.2166,,e2,e2-standard-4,4,16,1230.3,1.2303,,a1,a1.large,2,4,1022.1904,1.0221904
Av2 Standard,A2m v2,2,16,1216.6,1.2166,,e2,e2-standard-8,8,32,1230.3,1.2303,,a1,a1.xlarge,4,8,1022.1904,1.0221904
Av2 Standard,A4 v2,4,8,1216.6,1.2166,,e2,e2-standard-16,16,64,1230.3,1.2303,,a1,a1.2xlarge,8,16,1022.1904,1.0221904
Av2 Standard,A4m v2,4,32,1216.6,1.2166,,e2,e2-standard-32,32,128,1230.3,1.2303,,a1,a1.4xlarge,16,32,1022.1904,1.0221904
Av2 Standard,A8 v2,8,16,1216.6,1.2166,,e2,e2-highmem-2,2,16,1230.3,1.2303,,a1,a1.metal,16,32,1022.1904,1.0221904
Av2 Standard,A8m v2,8,64,1216.6,1.2166,,e2,e2-highmem-4,4,32,1230.3,1.2303,,c1,c1.medium,2,1.7,1536.0594,1.5360594
Bs-series,B12MS,12,48,1238.8,1.2388,,e2,e2-highmem-8,8,64,1230.3,1.2303,,c1,c1.xlarge,8,7,1536.0594,1.5360594
Bs-series,B16MS,16,64,1238.8,1.2388,,e2,e2-highmem-16,16,128,1230.3,1.2303,,cr1,cr1.8xlarge,32,244,1616.2132,1.6162132
Bs-series,B1LS,1,0.5,1238.8,1.2388,,e2,e2-highcpu-2,2,2,1097.2,1.0972,,cc2,cc2.8xlarge,32,60.5,1561.71705,1.56171705
Bs-series,B1MS,1,2,1238.8,1.2388,,e2,e2-highcpu-4,4,4,1097.2,1.0972,,c3,c3.large,2,3.75,1361.0236,1.3610236
Bs-series,B1S,1,1,1238.8,1.2388,,e2,e2-highcpu-8,8,8,1097.2,1.0972,,c3,c3.xlarge,4,7.5,1361.0236,1.3610236
Bs-series,B20MS,20,80,1238.8,1.2388,,e2,e2-highcpu-16,16,16,1097.2,1.0972,,c3,c3.2xlarge,8,15,1361.0236,1.3610236
Bs-series,B2MS,2,8,1238.8,1.2388,,e2,e2-highcpu-32,32,32,1097.2,1.0972,,c3,c3.4xlarge,16,30,1361.0236,1.3610236
Bs-series,B2S,2,4,1238.8,1.2388,,e2 Shared-core,e2-micro,2,1,1230.3,1.2303,,c3,c3.8xlarge,32,60,1361.0236,1.3610236
Bs-series,B4MS,4,16,1238.8,1.2388,,e2 Shared-core,e2-small,2,2,1230.3,1.2303,,c4,c4.large,2,3.75,1161.0236,1.1610236
Bs-series,B8MS,8,32,1238.8,1.2388,,e2 Shared-core,e2-medium,2,4,1230.3,1.2303,,c4,c4.xlarge,4,7.5,1161.0236,1.1610236
Constrained vCPUs capable,M128-32ms,0.25,3800,6398.0,6.398,,n2,n2-standard-2,2,8,1887.9,1.8879,,c4,c4.2xlarge,8,15,1161.0236,1.1610236
Constrained vCPUs capable,M128-64ms,0.5,3800,6398.0,6.398,,n2,n2-standard-4,4,16,1887.9,1.8879,,c4,c4.4xlarge,16,30,1161.0236,1.1610236
Constrained vCPUs capable,M64-16ms,0.25,1750,3554.9,3.5549,,n2,n2-standard-8,8,32,1887.9,1.8879,,c4,c4.8xlarge,36,60,1161.0236,1.1610236
Constrained vCPUs capable,M64-32ms,0.5,1750,3554.9,3.5549,,n2,n2-standard-16,16,64,1887.9,1.8879,,c5,c5.large,2,4,1344.0944,1.3440944
Constrained vCPUs capable,M32-16ms,0.5,875,2341.3,2.3413,,n2,n2-standard-32,32,128,1887.9,1.8879,,c5,c5.xlarge,4,8,1344.0944,1.3440944
Constrained vCPUs capable,M32-8ms,0.25,875,2341.3,2.3413,,n2,n2-standard-48,48,192,1887.9,1.8879,,c5,c5.2xlarge,8,16,1344.0944,1.3440944
Constrained vCPUs capable,E96-24as v4,0.25,672,2059.8,2.0598,,n2,n2-standard-64,64,256,1887.9,1.8879,,c5,c5.4xlarge,16,32,1344.0944,1.3440944
Constrained vCPUs capable,E96-48as v4,0.5,672,2059.8,2.0598,,n2,n2-standard-80,80,320,1887.9,1.8879,,c5,c5.9xlarge,36,72,1344.0944,1.3440944
Constrained vCPUs capable,E64-16as v4,0.25,512,1837.9,1.8379,,n2,n2-standard-96,96,384,1887.9,1.8879,,c5,c5.12xlarge,48,96,1344.0944,1.3440944
Constrained vCPUs capable,E64-32as v4,0.5,512,1837.9,1.8379,,n2,n2-standard-128,128,512,1887.9,1.8879,,c5,c5.18xlarge,72,144,1344.0944,1.3440944
Constrained vCPUs capable,E64-16ds v4,0.25,504,1826.8,1.8268,,n2,n2-highmem-2,2,16,2376.1,2.3761,,c5,c5.24xlarge,96,192,1344.0944,1.3440944
Constrained vCPUs capable,E64-32ds v4,0.5,504,1826.8,1.8268,,n2,n2-highmem-4,4,32,2376.1,2.3761,,c5,c5.metal,96,192,1344.0944,1.3440944
Constrained vCPUs capable,E64-16s v4,0.25,504,1776.8,1.7768,,n2,n2-highmem-8,8,64,2376.1,2.3761,,c5a,c5a.large,2,4,1244.0944,1.2440944
Constrained vCPUs capable,E64-32s v4,0.5,504,1776.8,1.7768,,n2,n2-highmem-16,16,128,2376.1,2.3761,,c5a,c5a.xlarge,4,8,1244.0944,1.2440944
Constrained vCPUs capable,Gs5-16,0.5,448,1749.1,1.7491,,n2,n2-highmem-32,32,256,2376.1,2.3761,,c5a,c5a.2xlarge,8,16,1244.0944,1.2440944
Constrained vCPUs capable,Gs5-8,0.25,448,1749.1,1.7491,,n2,n2-highmem-48,48,384,2376.1,2.3761,,c5a,c5a.4xlarge,16,32,1244.0944,1.2440944
Constrained vCPUs capable,M16-4ms,0.25,438,1735.3,1.7353,,n2,n2-highmem-64,64,512,2376.1,2.3761,,c5a,c5a.8xlarge,32,64,1244.0944,1.2440944
Constrained vCPUs capable,M16-8ms,0.5,438,1735.3,1.7353,,n2,n2-highmem-80,80,640,2376.1,2.3761,,c5a,c5a.12xlarge,48,96,1244.0944,1.2440944
Constrained vCPUs capable,E64-16s v3,0.25,432,1727.0,1.727,,n2,n2-highmem-96,96,768,2376.1,2.3761,,c5a,c5a.16xlarge,64,128,1244.0944,1.2440944
Constrained vCPUs capable,E64-32s v3,0.5,432,1727.0,1.727,,n2,n2-highmem-128,128,864,2376.1,2.3761,,c5a,c5a.24xlarge,96,192,1244.0944,1.2440944
Constrained vCPUs capable,HB120-16rs v3,0.1333333333,448,1699.1,1.6991,,n2,n2-highcpu-2,2,2,1311,1.311,,c5ad,c5ad.large,2,4,1444.0944,1.4440944
Constrained vCPUs capable,HB120-32rs v3,0.2666666667,448,1699.1,1.6991,,n2,n2-highcpu-4,4,4,1311,1.311,,c5ad,c5ad.xlarge,4,8,1444.0944,1.4440944
Constrained vCPUs capable,HB120-64rs v3,0.5333333333,448,1699.1,1.6991,,n2,n2-highcpu-8,8,8,1311,1.311,,c5ad,c5ad.2xlarge,8,16,1444.0944,1.4440944
Constrained vCPUs capable,HB120-96rs v3,0.8,448,1699.1,1.6991,,n2,n2-highcpu-16,16,16,1311,1.311,,c5ad,c5ad.4xlarge,16,32,1444.0944,1.4440944
Constrained vCPUs capable,E32-16as v4,0.5,256,1482.9,1.4829,,n2,n2-highcpu-32,32,32,1311,1.311,,c5ad,c5ad.8xlarge,32,64,1444.0944,1.4440944
Constrained vCPUs capable,E32-16ds v4,0.5,256,1482.9,1.4829,,n2,n2-highcpu-48,48,48,1311,1.311,,c5ad,c5ad.12xlarge,48,96,1444.0944,1.4440944
Constrained vCPUs capable,E32-16s v3,0.5,256,1482.9,1.4829,,n2,n2-highcpu-64,64,64,1311,1.311,,c5ad,c5ad.16xlarge,64,128,1444.0944,1.4440944
Constrained vCPUs capable,E32-8as v4,0.25,256,1482.9,1.4829,,n2,n2-highcpu-80,80,80,1311,1.311,,c5ad,c5ad.24xlarge,96,192,1444.0944,1.4440944
Constrained vCPUs capable,E32-8ds v4,0.25,256,1482.9,1.4829,,n2,n2-highcpu-96,96,96,1311,1.311,,c5d,c5d.large,2,4,1544.0944,1.5440944
Constrained vCPUs capable,E32-8s v3,0.25,256,1482.9,1.4829,,n2d,n2d-standard-2,2,8,2320.5,2.3205,,c5d,c5d.xlarge,4,8,1544.0944,1.5440944
Constrained vCPUs capable,Gs4-4,0.25,224,1438.5,1.4385,,n2d,n2d-standard-4,4,16,2320.5,2.3205,,c5d,c5d.2xlarge,8,16,1544.0944,1.5440944
Constrained vCPUs capable,Gs4-8,0.5,224,1438.5,1.4385,,n2d,n2d-standard-8,8,32,2320.5,2.3205,,c5d,c5d.4xlarge,16,32,1544.0944,1.5440944
Constrained vCPUs capable,E32-16s v4,0.5,256,1432.9,1.4329,,n2d,n2d-standard-16,16,64,2320.5,2.3205,,c5d,c5d.9xlarge,36,72,1544.0944,1.5440944
Constrained vCPUs capable,E32-8s v4,0.25,256,1432.9,1.4329,,n2d,n2d-standard-32,32,128,2320.5,2.3205,,c5d,c5d.12xlarge,48,96,1744.0944,1.7440944
Constrained vCPUs capable,M8-2ms,0.25,219,1431.5,1.4315,,n2d,n2d-standard-48,48,192,2320.5,2.3205,,c5d,c5d.18xlarge,72,144,1544.0944,1.5440944
Constrained vCPUs capable,M8-4ms,0.5,219,1431.5,1.4315,,n2d,n2d-standard-64,64,256,2320.5,2.3205,,c5d,c5d.24xlarge,96,192,1744.0944,1.7440944
Constrained vCPUs capable,E16-4as v4,0.25,128,1305.3,1.3053,,n2d,n2d-standard-80,80,320,2320.5,2.3205,,c5d,c5d.metal,96,192,1744.0944,1.7440944
Constrained vCPUs capable,E16-4ds v4,0.25,128,1305.3,1.3053,,n2d,n2d-standard-96,96,384,2320.5,2.3205,,c5n,c5n.large,2,5.25,1344.0944,1.3440944
Constrained vCPUs capable,E16-4s v3,0.25,128,1305.3,1.3053,,n2d,n2d-standard-128,128,512,2320.5,2.3205,,c5n,c5n.xlarge,4,10.5,1344.0944,1.3440944
Constrained vCPUs capable,E16-8as v4,0.5,128,1305.3,1.3053,,n2d,n2d-standard-224,224,896,2320.5,2.3205,,c5n,c5n.2xlarge,8,21,1344.0944,1.3440944
